1472711584,1.25847E+11,3,1
1472706440,1.77938E+11,2,0
1472706444,1.77938E+11,2,1
1472706504,1.77938E+11,1,1
1472714474,38099732032,2,2
1472714544,38099732032,2,1
1472715005,38099732032,2,1
1472715005,38099732032,2,1
1472715005,38099732032,2,1
1472727972,1.03586E+11,2,3
1472700960,1.72305E+11,2,1
1472731064,1.44399E+11,1,1
1472734467,1.06061E+11,2,4
1472754789,43663581726,2,1
1472710543,2.1105E+11,2,1
1472710568,2.1105E+11,2,1
1472710600,2.1105E+11,2,1
1472739354,1.22843E+11,2,1
1472728777,99287267958,2,2
1472742455,99287267958,2,1
